appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
649670,ZHUST - THE ILLUSION SOUL,KT Games,KT Games,,19,17,0,"0 .. 20,000",0,0,0,0,49,499,90,0
625160,Scrollonoid,Vadjra,Vadjra,,6,4,0,"0 .. 20,000",0,0,0,0,299,299,0,0
597860,Nightmare Boy,The Vanir Project,BadLand Publishing,,24,14,0,"0 .. 20,000",0,0,0,0,999,999,0,0
624870,Preta: Vendetta Rising,Illion Corp,YJM GAMES,,37,22,0,"0 .. 20,000",0,0,0,0,0,0,0,0
623640,Mulaka,Lienzo,Lienzo,,136,13,0,"0 .. 20,000",69,0,83,0,1999,1999,0,1
621850,Maze Bandit,Gamestone Studio,Gamestone Studio,,16,6,0,"0 .. 20,000",0,0,0,0,299,299,0,0
655440,Panzer Killer,Digital Fusion Inc.,Digital Fusion Inc.,,10,4,0,"0 .. 20,000",0,0,0,0,299,299,0,0
655280,Ping,Examined Interactive,Examined Interactive,,23,6,0,"0 .. 20,000",0,0,0,0,0,0,0,0
650770,Time Gun / 时间枪,chaosikaros,chaosikaros,,5,2,0,"0 .. 20,000",60,0,60,0,999,999,0,0
668300,Chinese Souls-Hua Garden/华夏园,Dawei Liu,Dawei Liu,,20,16,0,"0 .. 20,000",0,0,0,0,399,399,0,0
671860,BattleBit Remastered,"MrOkiDoki, BATTLEKOT, TheLiquidHorse",MrOkiDoki,,0,0,0,"0 .. 20,000",0,0,0,0,0,0,0,0
658230,Chambered,SegFault Games,SegFault Games,,28,6,0,"0 .. 20,000",2,0,2,0,0,0,0,0
673300,Alien Splatter Redux,Sinclair Strange,Sinclair Strange,,119,9,0,"0 .. 20,000",0,0,0,0,99,99,0,1
671050,XMinutes: Wings,XMinutesGames,XMinutesGames,,5,1,0,"0 .. 20,000",0,0,0,0,99,99,0,0
678230,Abstract Arena,Credici,Credici,,16,13,0,"0 .. 20,000",0,0,0,0,499,499,0,0
661030,Aliens&Asteroids,crowgames UG (haftungsbeschränkt),crowgames UG (haftungsbeschränkt),,15,1,0,"0 .. 20,000",0,0,0,0,199,199,0,0
674570,Bear Football,Hero Game,Hero Game,,74,30,0,"0 .. 20,000",0,0,0,0,99,99,0,0
667310,Animal Herding,Pixl Pile,Pixl Pile,,6,15,0,"0 .. 20,000",0,0,0,0,199,199,0,0
675210,CastleMiner Warfare,DigitalDNA Games LLC,DigitalDNA Games LLC,,36,44,0,"0 .. 20,000",0,0,0,0,499,499,0,0
648630,Damascus Gear Operation Tokyo HD,Arc System Works,Arc System Works,,12,16,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
