appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,Final Price_$,Initial Price_$,Discount_$,Total Score, Mark ,Tier
476670,0,Emberdoom,"Loud King Studios, LLC","Loud King Studios, LLC",,5,1,0,"20,000 .. 50,000",0,0,0,0,999,999,0,0,0,9.99,9.99,6,83,L
510370,0,Dragon Souls,Avant Games,Avant Games,,45,27,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,72,63,L
557420,0,Kamio Recoil,Shindenken,Fruitbat Factory,,3,2,0,"20,000 .. 50,000",0,0,0,0,399,799,50,0,0,3.99,7.99,5,60,L
547820,0,Kitten Squad,SAGENCY,PETA,,88,69,0,"20,000 .. 50,000",4562,0,9119,0,0,0,0,0,0,0,0,157,56,L
557970,0,Teria,ElZzap Software,Volens Nolens Games,,10,16,0,"20,000 .. 50,000",0,0,0,0,99,99,0,0,0,0.99,0.99,26,-62,L
555400,0,Collision Course,Crynosaurs,Crynosaurs,,195,60,0,"20,000 .. 50,000",54,0,54,0,999,999,0,1,0,9.99,9.99,255,76,L
551450,1,Furious Angels,MorfeoDev,MorfeoDev,,328,49,0,"20,000 .. 50,000",34,0,34,0,499,499,0,1,0,4.99,4.99,377,87,L
543180,0,Infinite Tanks,Atypical Games,Atypical Games,,120,67,0,"20,000 .. 50,000",0,0,0,0,499,499,0,1,0,4.99,4.99,187,64,L
585970,0,Tank Assault X,Starwind Games,Starwind Games,,19,13,0,"20,000 .. 50,000",239,0,242,0,99,199,50,0,0,0.99,1.99,32,59,L
613190,0,Unworthy,Aleksandar Kuzmanovic Games Inc.,Aleksandar Kuzmanovic Games Inc.,,514,119,0,"20,000 .. 50,000",0,0,0,0,1499,1499,0,3,0,14.99,14.99,633,81,L
418060,0,Battle Riders,OneManTeam,OneManTeam,,111,54,0,"20,000 .. 50,000",0,0,0,0,99,99,0,0,0,0.99,0.99,165,67,L
584930,0,Conductor,Overflow,Overflow,,265,17,0,"20,000 .. 50,000",109,0,109,0,999,999,0,0,0,9.99,9.99,282,94,L
603130,0,Masked Shooters,FreezeNova.Games,FreezeNova.Games,,92,40,0,"20,000 .. 50,000",211,0,211,0,99,99,0,0,0,0.99,0.99,132,70,L
587180,0,Wulverblade,"Fully Illustrated, Darkwind Media",Darkwind Media,,156,35,0,"20,000 .. 50,000",244,0,463,0,1499,1499,0,0,0,14.99,14.99,191,82,L
622040,2,Zooicide,Evil Tortilla Games,Evil Tortilla Games,,265,135,0,"20,000 .. 50,000",3304,0,6582,0,499,499,0,0,0,4.99,4.99,400,66,L
548680,0,Iron Crypticle,Confused Pelican,TIKIPOD,,84,12,0,"20,000 .. 50,000",392,0,392,0,999,999,0,0,0,9.99,9.99,96,88,L
681330,0,Helium Rain,Deimos Games,Deimos Games,,180,42,0,"20,000 .. 50,000",159,0,159,0,1499,1499,0,1,0,14.99,14.99,222,81,L
673450,1,Time Lock VR 1,Whale Rock Games,Whale Rock Games,,423,146,0,"20,000 .. 50,000",21,0,21,0,999,999,0,1,0,9.99,9.99,569,74,L
680340,0,Omega Strike,Woblyware,Woblyware,,251,61,0,"20,000 .. 50,000",272,0,272,0,1299,1299,0,0,0,12.99,12.99,312,80,L
519890,0,Star Boss,Hobibit,Hobibit,,11,2,0,"20,000 .. 50,000",263,0,268,0,99,99,0,0,0,0.99,0.99,13,85,L
744520,0,NEKO-NIN exHeart +PLUS Nachi,Whirlpool,Sekai Project,,234,14,0,"20,000 .. 50,000",3051,0,6065,0,199,199,0,0,0,1.99,1.99,248,94,L
611260,0,Mad Machines,Hero Blocks ApS,Hero Blocks ApS,,159,50,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,209,76,L
793000,0,Star-Pit Starship,Puddledock Games,Puddledock Games,,2,0,0,"20,000 .. 50,000",0,0,0,0,99,99,0,0,0,0.99,0.99,2,100,L
851180,2,Blood Harvest 3,BekkerDev Studio,BekkerDev Studio,,149,38,0,"20,000 .. 50,000",106,0,106,0,1999,1999,0,3,0,19.99,19.99,187,80,L
845880,1,Touhou: Scarlet Curiosity,Ankake Spa,"XSEED Games, Marvelous USA, Inc.",,938,68,0,"20,000 .. 50,000",177,0,233,0,1499,1499,0,1,0,14.99,14.99,1006,93,L
