appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
434570,Blood and Bacon,Big Corporation,Grunge Games LTD,,28060,1441,0,"500,000 .. 1,000,000",197,0,126,0,51,99,48,36
915320,Pixel Strike 3D,Vulcron,Vulcron,,7239,2453,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,121
1106840,Hydroneer,Foulball Hangover,Foulball Hangover,,12632,1855,0,"500,000 .. 1,000,000",1449,0,1051,0,999,999,0,525
334210,Fortified,Siege Camp,Siege Camp,,1251,405,0,"500,000 .. 1,000,000",295,0,304,0,1499,1499,0,3
326460,ShellShock Live,kChamp Games,kChamp Games,,28761,2008,0,"500,000 .. 1,000,000",1314,95,461,152,699,699,0,537
319910,Trine 3: The Artifacts of Power,Frozenbyte,Frozenbyte,,5056,2810,0,"500,000 .. 1,000,000",364,0,245,0,2199,2199,0,12
1147550,Not For Broadcast,NotGames,tinyBuild,,7384,400,0,"500,000 .. 1,000,000",296,102,177,102,999,2499,60,77
544920,Darwin Project,Scavengers Studio,Scavengers Studio,,15032,3451,0,"500,000 .. 1,000,000",169,0,58,0,0,0,0,18
215530,The Incredible Adventures of Van Helsing,NeocoreGames,NeocoreGames,,7502,1530,0,"500,000 .. 1,000,000",615,0,318,0,149,1499,90,28
920210,LEGO Star Wars: The Skywalker Saga,TT Games,"Warner Bros. Games, Warner Bros. Interactive Entertainment",,28297,2466,0,"500,000 .. 1,000,000",1512,82,831,133,4999,4999,0,872
264200,One Finger Death Punch,Silver Dollar Games,Silver Dollar Games,,15618,315,0,"500,000 .. 1,000,000",320,0,167,0,99,499,80,19
280160,Aragami,Lince Works,Lince Works,,9860,1046,0,"500,000 .. 1,000,000",366,1,168,1,1999,1999,0,31
384190,ABZU,Giant Squid,505 Games,,21077,1602,0,"500,000 .. 1,000,000",263,84,181,84,1999,1999,0,14
209650,Call of Duty: Advanced Warfare - Gold Edition,"Sledgehammer Games, Raven Software",Activision,,14955,8618,0,"500,000 .. 1,000,000",470,0,313,0,5999,5999,0,81
12140,Max Payne,Remedy Entertainment,Rockstar Games,,9805,1158,0,"500,000 .. 1,000,000",595,4,88,4,999,999,0,25
950670,Gothic Playable Teaser,THQ Nordic Barcelona,THQ Nordic,,10023,3835,0,"500,000 .. 1,000,000",85,219,59,219,0,0,0,8
240760,Wasteland 2: Director's Cut,inXile Entertainment,inXile Entertainment,,6566,1403,0,"500,000 .. 1,000,000",1226,0,894,0,2999,2999,0,15
346940,Shadowrun: Hong Kong - Extended Edition,Harebrained Schemes,Paradox Interactive,,3634,564,0,"500,000 .. 1,000,000",867,0,917,0,1999,1999,0,52
1096530,Solasta: Crown of the Magister,Tactical Adventures,Tactical Adventures,,11818,1451,0,"500,000 .. 1,000,000",3424,68,1372,68,3999,3999,0,871
23310,The Last Remnant,Square Enix,Square Enix,,3182,733,0,"500,000 .. 1,000,000",565,0,142,0,0,0,0,38
404410,Endless Sky,Michael Zahniser,Michael Zahniser,,5179,452,0,"500,000 .. 1,000,000",517,1016,38,1016,0,0,0,254
330840,Game of Thrones - A Telltale Games Series,Telltale Games,Telltale Games,,8005,2527,0,"500,000 .. 1,000,000",548,0,527,0,0,0,0,9
529920,Resurgence,Lightning Man Media,Lightning Man Media,,13,8,0,"500,000 .. 1,000,000",261,0,273,0,199,199,0,0
678800,SAS: Zombie Assault 4,Ninja Kiwi,Ninja Kiwi,,5997,988,0,"500,000 .. 1,000,000",725,433,171,854,0,0,0,257
421020,DiRT 4,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts",,12136,3098,0,"500,000 .. 1,000,000",935,0,389,0,1499,1499,0,143
217750,Age of Conan: Unchained,Funcom,Funcom,,1554,691,0,"500,000 .. 1,000,000",3875,0,2465,0,0,0,0,79
903950,Last Oasis,Donkey Crew,Donkey Crew,,14796,8313,0,"500,000 .. 1,000,000",8154,0,1884,0,2999,2999,0,260
605740,"Flashing Lights - Police, Firefighting, Emergency Services Simulator",Nils Jakrins,Excalibur Games,,9996,1984,0,"500,000 .. 1,000,000",628,0,488,0,1249,2499,50,345
611670,The Elder Scrolls V: Skyrim VR,Bethesda Game Studios,Bethesda Softworks,,6611,2129,0,"500,000 .. 1,000,000",446,12,182,18,5999,5999,0,238
211160,Viking: Battle for Asgard,"Creative Assembly, PC Port - Hardlight",SEGA,,1044,1121,0,"500,000 .. 1,000,000",224,0,101,0,1499,1499,0,4
405310,LEGO MARVEL's Avengers,"Traveller's Tales, TT Games, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",,5075,695,0,"500,000 .. 1,000,000",1086,0,928,0,1999,1999,0,124
799960,Wizard101,KingsIsle Entertainment,KingsIsle Entertainment,,4042,963,0,"500,000 .. 1,000,000",2254,0,111,0,0,0,0,531
859580,Imperator: Rome,Paradox Development Studio,Paradox Interactive,,12945,9240,0,"500,000 .. 1,000,000",2337,529,765,1056,3999,3999,0,410
1328670,Mass Effect Legendary Edition,BioWare,Electronic Arts,,28645,2029,0,"500,000 .. 1,000,000",2676,1360,1054,1932,5999,5999,0,2117
298240,War Trigger 3,"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",,4942,3359,0,"500,000 .. 1,000,000",114,0,22,0,0,0,0,9
992300,嗜血印 Bloody Spell,艺龙游戏,艺龙游戏,,21882,2948,0,"500,000 .. 1,000,000",414,8,187,8,2499,2499,0,174
488790,South Park: The Fractured But Whole,Ubisoft San Francisco,Ubisoft,,15248,3381,0,"500,000 .. 1,000,000",1061,0,1055,0,4999,4999,0,150
1359090,Zero Hour,"M7 Productions, Attrito","Attrito, M7 Productions",,18810,4527,0,"500,000 .. 1,000,000",893,1514,194,1514,599,1199,50,177
728540,Islands of Nyne: Battle Royale,Define Human Studios,Define Human Studios,,3478,3381,0,"500,000 .. 1,000,000",301,0,94,0,0,0,0,1
16900,GROUND BRANCH,BlackFoot Studios,MicroProse Software,,9343,939,0,"500,000 .. 1,000,000",1152,5,947,5,2999,2999,0,418
39510,Gothic II: Gold Edition,Piranha Bytes,THQ Nordic,,9740,770,0,"500,000 .. 1,000,000",1167,661,402,661,999,999,0,672
247000,Talisman: Digital Edition,Nomad Games,Nomad Games,,6180,1717,0,"500,000 .. 1,000,000",995,0,320,0,699,699,0,238
65540,Gothic 1,Piranha Bytes,THQ Nordic,,9550,826,0,"500,000 .. 1,000,000",530,12,75,12,999,999,0,302
753640,Outer Wilds,Mobius Digital,Annapurna Interactive,,38953,1891,0,"500,000 .. 1,000,000",619,824,306,832,2499,2499,0,509
238210,System Shock 2,"Nightdive Studios, Irrational Games, Looking Glass Studios",Nightdive Studios,,6078,355,0,"500,000 .. 1,000,000",155,0,97,0,249,999,75,40
97100,Section 8: Prejudice,TimeGate Studios,Atari,,794,237,0,"500,000 .. 1,000,000",438,0,449,0,0,0,0,2
701160,Kingdom Two Crowns,Stumpy,Raw Fury,,6244,819,0,"500,000 .. 1,000,000",1020,143,604,234,1999,1999,0,779
607260,McOsu,McKay,McKay,,4655,526,0,"500,000 .. 1,000,000",855,74,18,74,0,0,0,177
794260,Outward Definitive Edition,Nine Dots Studio,Prime Matter,,15592,5500,0,"500,000 .. 1,000,000",1502,0,794,0,3999,3999,0,529
24720,SPORE Galactic Adventures,EA - Maxis,Electronic Arts,,4960,675,0,"500,000 .. 1,000,000",2935,96,323,96,1999,1999,0,154
70600,Worms Ultimate Mayhem,Team17 Digital Ltd,Team17 Digital Ltd,,4188,581,0,"500,000 .. 1,000,000",242,0,129,0,224,1499,85,42
390670,Steel Ocean,Changyou.com Limited,Changyou.com Limited,,3109,1386,0,"500,000 .. 1,000,000",217,0,39,0,0,0,0,0
1241110,ANARCHY,NewProjekt,NewProjekt,,13,5,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,0
1401750,Mission Z,"New Games Waves, Softwaves",Softwaves Dist.,,14,6,0,"500,000 .. 1,000,000",0,0,0,0,1499,1499,0,0
690510,Immortal Soul: Black Survival,Nimble Neuron,"Nimble Neuron, Boltrend Global PTE.LTD",,3902,998,0,"500,000 .. 1,000,000",2294,0,169,0,0,0,0,156
589870,Learn to Fly 3,Light Bringer Games inc.,Light Bringer Games inc.,,6549,439,0,"500,000 .. 1,000,000",315,0,99,0,0,0,0,234
1241100,POLYGON: Multiplayer Shooter,Redaster Studio,Redaster Studio,,12508,4968,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,170
667530,Drunken Wrestlers 2,Oleg Skutte,Gamegrustudio,,8475,955,0,"500,000 .. 1,000,000",135,0,65,0,0,0,0,252
